POSITION,FIRST NAME,LAST NAME,YEAR,RATING,DEV TRAIT
QB,JAMAR,BULLOCKS,SR (RS),93,IMPACT
QB,HASSAN,SMILEY,JR (RS),86,STAR
QB,BARRY,BARNES,SO (RS),83,NORMAL
QB,TROY,HARDRICK,SO (RS),83,STAR
QB,BRAYDEN,MICHEL,FR,82,IMPACT
QB,JOHN,LALOS,FR,78,NORMAL
QB,JUNIOR,TUIMAUNEI,FR (RS),73,IMPACT
HB,TYE,BRADBURY,SR (RS),91,IMPACT
HB,ELIAS,ALVES,SO,91,STAR
HB,ANTHONY,ADONGO,SO,87,IMPACT
HB,NICK,GASKIN,SO (RS),83,NORMAL
HB,JAMES,HOLLIDAY,FR,79,STAR
HB,IMMANUEL,DROOGSMA,FR,78,NORMAL
FB,DONTE,ANNEN,SO,80,STAR
WR,TERRELLE,CARLISLE,JR,88,STAR
WR,SILAS,PRIEST,SO (RS),82,IMPACT
WR,ERIC,SANDY,SO (RS),81,NORMAL
WR,JAMERSON,DALY,FR (RS),80,NORMAL
WR,MIGUEL,MASIFILO,FR (RS),79,NORMAL
WR,DAVID,JACQUES,FR (RS),75,IMPACT
WR,FAITELE,MAYO,FR,77,IMPACT
WR,OFISA,MANUMALEUNA,FR,75,IMPACT
WR,EMANUEL,VARGAS,FR,67,NORMAL
WR,JAMES,FORT,FR,66,NORMAL
TE,DARYL,MAST,SO,83,NORMAL
TE,TAYLOR,ALVAREZ,SO (RS),80,NORMAL
TE,JA'MARIO,MORSE,FR (RS),79,IMPACT
TE,ABDUL,BUSBY,FR (RS),79,IMPACT
TE,GLENN,SCARLETT,FR,77,STAR
LT,JASON,SELF,SR (RS),92,IMPACT
LT,BRADLEY,JACKSON,SO (RS),89,ELITE
LT,ALEX,FAJARDO,FR,72,NORMAL
LT,JERMAINE,CAMARDA,FR (RS),71,NORMAL
LG,KYLE,ROBERT,SO (RS),92,NORMAL
LG,DEONTAE,GIGUERE,SO,86,NORMAL
LG,ERIC,GARCIA,FR (RS),85,IMPACT
LG,CURT,BAUER,FR (RS),75,NORMAL
C,LEE,KEENE,JR (RS),88,IMPACT
C,DEVONTA,SLEDGE,FR (RS),79,IMPACT
C,MELVIN,WATFORD,FR,78,NORMAL
C,ALEX,COMELLA,FR,73,STAR
RG,JERRY,WINOVICH,SO (RS),88,NORMAL
RG,BRIAN,CALCATERRA,SO,83,STAR
RG,TYREE,SIMONS,FR,81,STAR
RG,MARKELLE,NEIL,FR (RS),78,NORMAL
RG,MARCO,WADDY,FR,72,IMPACT
RT,RAMON,PINA,SO (RS),89,ELITE
RT,NATHAN,JEWELL,SO (RS),85,IMPACT
RT,BOOGIE,BURNETTE,JR (RS),78,STAR
RT,CALEB,SHAW,FR,70,NORMAL
LE,DAVID,GARCON,SR (RS),95,ELITE
LE,SCOTT,PITTS,JR (RS),89,STAR
LE,NICK,PINEIRO,FR,70,IMPACT
RE,RUSS,FLANAGAN,JR (RS),92,IMPACT
RE,EVAN,INGOLD,JR (RS),88,IMPACT
RE,MALCOLM,WAY,SO (RS),84,STAR
RE,JORDAN,SMOKER,SO (RS),83,NORMAL
DT,KENYON,LANOVOI,SR,92,ELITE
DT,MARCO,PETTIGREW,SR (RS),86,NORMAL
DT,ZACH,WEINSTEEN,FR (RS),82,NORMAL
DT,GREG,VOLK,SO (RS),80,NORMAL
DT,EMANUEL,MANZIEL,FR,70,STAR
LOLB,ERIC,TOPPINS,SR (RS),85,NORMAL
MLB,ERIC,GRIFFEN,SR (RS),87,IMPACT
MLB,PAUL,TURBIN,SR,86,NORMAL
MLB,JAMES,HOOEY,FR,80,STAR
ROLB,JOSH,KEARNES,SO (RS),85,STAR
ROLB,DAMON,MURPHEY,SR (RS),84,NORMAL
ROLB,ISAIAH,SAUER,SO,81,STAR
ROLB,JOSH,SILLS,SO (RS),80,NORMAL
ROLB,HENRY,O'DOWD,SO,72,NORMAL
CB,BEN,GOODIN,SR (RS),83,NORMAL
CB,NICO,DE BEER,SO (RS),83,STAR
CB,JEREMY,GAY,FR (RS),80,IMPACT
CB,KEVIN,CASTANEDA,FR,78,STAR
CB,MAC,DEMULLING,FR,71,STAR
FS,RAMON,PRICE,JR (RS),83,NORMAL
FS,ALEX,AGASIVA,SO (RS),78,NORMAL
FS,BRIAN,NEIGHBORS,FR (RS),76,NORMAL
FS,ALTON,LAMUR,FR (RS),69,IMPACT
SS,ALEX,BLANCO,FR,68,NORMAL
K,DERON,CROSS,JR,81,NORMAL
P,ERIC,OLIVEIRA,FR (RS),76,NORMAL
