POSITION,FIRST NAME,LAST NAME,YEAR,OVR,DEV TRAIT,STARS
QB,CADE,FOX,SR,82,IMPACT,3
QB,MATT,ADAMS,FR (RS),77,IMPACT,4
QB,DAVID,KEYS,FR (RS),69,IMPACT,3
HB,QUINTEN,JOYNER,SR (RS),88,STAR,4
HB,A'MARION,PETERSON,JR (RS),78,IMPACT,3
HB,SONI,HIGGINS,SO,76,STAR,4
HB,BRYAN,JACKSON,SO (RS),75,IMPACT,3
HB,GEORGE,SORIANO,SO,74,IMPACT,4
HB,ANDY,SCHOMMER,FR (RS),68,NORMAL,3
WR,DUCE,ROBINSON,SR (RS),82,IMPACT,5
WR,XAVIER,JORDAN,SO (RS),80,STAR,4
WR,RASHARD,COPELAND,SR,79,IMPACT,3
WR,RASHARD,COOK,FR (RS),76,STAR,4
WR,JALEN,FOWLER,JR (RS),74,IMPACT,3
TE,WALTER,MATTHEWS,SO (RS),79,STAR,4
TE,KADE,ELDRIDGE,JR (RS),76,IMPACT,3
TE,JEAN,DWYER,FR (RS),75,IMPACT,4
LT,ELIJAH,PAIGE,JR (RS),85,STAR,4
LT,TOBIAS,RAYMOND,JR (RS),85,IMPACT,3
LT,JAKE,O'DONNELL,SO (RS),82,IMPACT,3
LT,LEE,CATAPANO,FR (RS),79,IMPACT,5
LT,DERWIN,NIX,SO (RS),75,IMPACT,3
LG,JUSTIN,TAUANUU,SO (RS),80,IMPACT,3
LG,TERRELLE,LEVINE,SO,78,IMPACT,4
C,JOEY,GIDEON,SO,80,STAR,4
C,DONALD,SHELLEY,SO (RS),68,STAR,3
RG,AMOS,TALALELE,JR (RS),77,IMPACT,3
RG,MAKAI,SAINA,SO (RS),76,IMPACT,3
RG,EARL,BROOKS,FR (RS),76,IMPACT,4
RG,DARREN,LEDYARD,FR (RS),74,NORMAL,4
RT,MANUEL,ANGULO,FR (RS),75,IMPACT,4
RT,HAYDEN,TRETER,SO (RS),69,IMPACT,3
RT,DARRELL,CONTE,FR (RS),68,IMPACT,3
LE,ZAIRE,SMITH,SO (RS),77,IMPACT,3
LE,DEVAN,THOMPKINS,SR (RS),76,IMPACT,3
RE,ELIJAH,HUGHES,SR (RS),83,IMPACT,3
RE,QUENTIN,MITCHELL,SR,83,IMPACT,3
RE,SHAWN,WARD,SO (RS),77,IMPACT,3
RE,DJ,PEEVY,JR (RS),74,IMPACT,4
RE,BEAU,BITONIO,FR (RS),73,IMPACT,5
DT,JIDE,ABASIRI,SO (RS),79,IMPACT,3
DT,JORDAN,CORREA,SO,77,STAR,4
DT,GREG,COLMAN,FR (RS),76,STAR,4
LOLB,KAMERYN,FOUNTAIN,SO (RS),81,STAR,4
LOLB,SAM,GREENE,JR (RS),81,IMPACT,3
LOLB,BRAYLAN,SHELBY,SR (RS),81,STAR,4
MLB,JADYN,WALKER,SO (RS),74,IMPACT,3
MLB,PARKER,MCCORD,SO,73,ELITE,4
MLB,OSCAR,TANDY,SO,69,STAR,3
ROLB,GARRISON,MADDEN,SR (RS),82,IMPACT,3
ROLB,ELIJAH,NEWBY,SO (RS),75,STAR,4
ROLB,MOHAMMAD,KUKWA,FR (RS),74,IMPACT,4
ROLB,EZEKIEL,IVORY,FR (RS),68,IMPACT,3
ROLB,TIM,APPLEWHITE,SO (RS),66,IMPACT,3
CB,MARCELLES,WILLIAMS,SO (RS),84,STAR,4
CB,BRAYLON,CONLEY,SO (RS),78,IMPACT,3
CB,TYE,JENNINGS,SO (RS),78,IMPACT,3
CB,TITUS,STOKES,SO,77,ELITE,4
CB,KINGSTON,THOMAS,JR (RS),74,IMPACT,3
CB,JAMES,BRIDGEWATER,SO (RS),72,IMPACT,3
FS,KAMARI,RAMSEY,SR (RS),85,STAR,4
FS,MARQUIS,GALLEGOS,SO (RS),76,IMPACT,3
FS,ROBERT,BABCOCK,FR (RS),73,NORMAL,4
SS,ZION,BRANCH,SR (RS),85,STAR,4
SS,CHRISTIAN,PIERCE,SR (RS),78,IMPACT,3
SS,DESMAN,STEPHENS II,SO (RS),76,IMPACT,3
SS,KLAY,HEARD,FR (RS),70,ELITE,3
SS,AIDEN,HASKINS,FR (RS),66,STAR,3
K,SAM,MCLAUGHLIN,SO (RS),77,NORMAL,2
P,GRAYSON,FARMER,SO (RS),64,NORMAL,2
