Position ,Current Count ,Min Required ,Blended Value ,Grade ,Priority
QB       ,            6 ,           3 ,       142.68 ,A     ,LOW
HB       ,            5 ,           4 ,       150.15 ,A+    ,LOW
FB       ,            1 ,           0 ,        99.75 ,C+    ,LOW
WR       ,           10 ,           6 ,       133.72 ,A-    ,LOW
TE       ,            5 ,           3 ,       151.1  ,A+    ,LOW
LT       ,            3 ,           3 ,       166.56 ,A+    ,LOW
LG       ,            4 ,           3 ,       146.64 ,A     ,LOW
C        ,            4 ,           3 ,       145.1  ,A     ,LOW
RG       ,            5 ,           3 ,       157.92 ,A+    ,LOW
RT       ,            4 ,           3 ,       169.71 ,A+    ,LOW
LE       ,            2 ,           3 ,       133.78 ,A-    ,HIGH
RE       ,            4 ,           3 ,       140.07 ,A     ,LOW
DT       ,            3 ,           3 ,       131.31 ,A-    ,LOW
LOLB     ,            0 ,           3 ,        56.52 ,F     ,HIGH
MLB      ,            1 ,           3 ,       142.27 ,A     ,HIGH
ROLB     ,            4 ,           3 ,       139.04 ,A-    ,LOW
CB       ,            4 ,           5 ,       145.75 ,A     ,HIGH
FS       ,            4 ,           2 ,       122.03 ,B+    ,LOW
SS       ,            1 ,           2 ,        79.13 ,C-    ,HIGH
K        ,            1 ,           1 ,        67.33 ,F     ,HIGH
P        ,            1 ,           1 ,        88.44 ,C     ,MEDIUM
